frame,t,phase,heavy_x,heavy_y,heavy_z,heavy_vx,heavy_vy,heavy_vz,heavy_sub,light_x,light_y,light_z,light_vx,light_vy,light_vz,light_sub,heavy_fx,heavy_fy,heavy_fz,light_fx,light_fy,light_fz,mass,mass0,mass_rel
0,0.000000,init,0.51999998,0.38400000,0.11000000,0.00000000,0.00000000,0.00000000,0.000000,0.51999998,0.89600003,0.11000000,0.00000000,0.00000000,0.00000000,0.000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,31264.000000,31264.000000,1.00000000
0,0.000000,post_ramp,0.51999998,0.38400000,0.10138999,0.00000000,0.00000000,-0.44280002,0.000000,0.51999998,0.89600003,0.10138999,0.00000000,0.00000000,-0.44280002,0.000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,31245.734375,31245.734375,1.00000000
10,0.166667,run,0.52234250,0.38401499,0.07999894,0.15687458,-0.00174494,-0.00000981,0.124008,0.53371686,0.89590853,0.07999919,0.72948462,-0.00271228,0.00009815,0.096599,0.00190950,-0.00030899,0.00087272,0.00119754,-0.00002575,0.00036204,31085.275391,31245.734375,0.99486461
20,0.333333,run,0.63057035,0.38406849,0.07999881,0.80708951,-0.01248842,-0.00002706,0.641701,0.75758749,0.89519507,0.07999915,1.38049114,0.04135223,-0.00000127,0.429052,0.00481405,0.00018198,0.00080412,0.00637064,0.00337230,0.00326273,30753.287109,31245.734375,0.98423954
30,0.500000,run,0.75670189,0.38071179,0.07999885,0.72265404,-0.02782108,-0.00000010,0.711120,0.98081452,0.90297961,0.07999952,1.33751142,0.01542050,-0.00003837,0.514080,0.00296983,-0.00108667,0.00538095,0.00456001,-0.00137615,0.00451193,30681.541016,31245.734375,0.98194335
40,0.666667,run,0.87701797,0.37981328,0.07999890,0.72202325,0.01751379,0.00002345,0.597486,1.15334940,0.88704133,0.12535439,0.36759284,-0.53102243,0.69819576,0.694001,0.00376829,0.00019569,0.00532307,-0.00400596,-0.02127554,-0.00194969,30672.707031,31245.734375,0.98166062
50,0.833333,run,0.99466693,0.38905108,0.07999919,0.62432611,0.20923491,-0.00001540,0.555685,1.13540387,0.79466605,0.22968669,-0.41124672,-0.40754348,0.35199341,0.286333,-0.01524987,0.02698081,0.01187384,-0.00226692,-0.00131329,0.00022222,30655.166016,31245.734375,0.98109923
60,1.000000,run,1.04967964,0.44628626,0.07999913,0.05762397,0.42580098,0.00004037,0.804311,1.07527149,0.73185897,0.21757294,-0.28497791,-0.37146786,-0.35516015,0.252110,-0.02058142,0.01564169,0.01117491,-0.00397688,-0.00415404,0.00327259,30649.375000,31245.734375,0.98091389
70,1.166667,run,1.04116726,0.52370757,0.07999912,-0.11115408,0.43667293,0.00000588,0.891330,1.02749109,0.67440385,0.21021740,-0.41239426,-0.18522733,0.24173079,0.648509,-0.00245972,-0.00621556,0.01363799,-0.00217520,0.00171235,0.00753563,30531.746094,31245.734375,0.97714926
80,1.333333,run,1.01965427,0.58669537,0.07999906,-0.12685370,0.36681783,0.00001868,0.868970,0.95178795,0.69830036,0.25611338,-0.45601276,0.23806964,0.11050319,0.553733,-0.00376123,-0.00447907,0.01081371,-0.00089077,0.00118417,0.00301754,30391.195312,31245.734375,0.97265102
