frame,t,phase,heavy_x,heavy_y,heavy_z,heavy_vx,heavy_vy,heavy_vz,heavy_sub,light_x,light_y,light_z,light_vx,light_vy,light_vz,light_sub,heavy_fx,heavy_fy,heavy_fz,light_fx,light_fy,light_fz
0,0.000000,init,0.20479999,0.24320000,0.11000000,0.00000000,0.00000000,0.00000000,0.000000,0.20479999,0.39680001,0.11000000,0.00000000,0.00000000,0.00000000,0.000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0,0.000000,post_ramp,0.20514277,0.19267477,0.10952950,0.01967424,-0.74920171,-0.03159526,0.277778,0.20586097,0.54815733,0.11009137,0.03240858,2.23141980,-0.01337873,0.277778,0.00257820,0.01413246,-0.00105164,-0.00071872,-0.01456442,0.00002376
1,0.016667,run,0.20567800,0.18092336,0.10877842,0.04349270,-0.66949350,-0.05671478,0.277778,0.20664121,0.55952722,0.10976240,0.04835568,-0.04678642,-0.02764247,0.294118,0.00386785,0.01286414,-0.00145210,-0.00053822,0.00201278,-0.00006753
2,0.033333,run,0.20665811,0.17040923,0.10758303,0.07243712,-0.59969038,-0.08472253,0.277778,0.20757794,0.55922860,0.10909303,0.06773186,0.00418964,-0.05174653,0.294118,0.00461085,0.01143004,-0.00183681,0.00086746,0.00147141,-0.00014711
3,0.050000,run,0.20821173,0.16100857,0.10590757,0.11945608,-0.53280795,-0.11460496,0.333333,0.20900731,0.55952948,0.10799034,0.10718801,0.02571611,-0.07761303,0.411765,0.01095859,0.01191255,-0.00227998,0.00287894,-0.00005037,0.00018339
4,0.066667,run,0.21111219,0.15277745,0.10371374,0.21910082,-0.46259794,-0.14546686,0.388889,0.21155490,0.56000137,0.10646600,0.17619433,0.00031423,-0.10024820,0.470588,0.01555384,0.01150657,-0.00144862,0.00407045,0.00058160,-0.00007628
5,0.083333,run,0.21580431,0.14568157,0.10105644,0.33569151,-0.39766568,-0.17007707,0.500000,0.21507253,0.56000012,0.10459234,0.24034680,-0.00000117,-0.12098968,0.470588,0.01744220,0.00988514,0.00005171,0.00364957,0.00051854,0.00061385
6,0.100000,run,0.22236881,0.13961515,0.09804928,0.44448796,-0.33658078,-0.18815216,0.444444,0.21989670,0.55999762,0.10242802,0.33122608,-0.00159959,-0.13860770,0.588235,0.01689973,0.00845398,0.00104668,0.00536253,-0.00125350,0.00047154
7,0.116667,run,0.23085673,0.13447939,0.09480487,0.56331813,-0.28339824,-0.19926964,0.555556,0.22615883,0.55985844,0.09998003,0.41656062,-0.01652519,-0.15284398,0.588235,0.01938586,0.00947999,0.00156305,0.00481856,-0.00145870,0.00089113
8,0.133333,run,0.24113625,0.13022505,0.09142093,0.65517342,-0.23184294,-0.20591658,0.444444,0.23401076,0.55941099,0.09740274,0.51427644,-0.03244529,-0.15417443,0.705882,0.00930665,0.00694168,0.00212200,0.00451606,-0.00047818,0.00168447
9,0.150000,run,0.25247070,0.12673628,0.08794335,0.69767135,-0.18808575,-0.21110274,0.529412,0.24317141,0.55879593,0.09486730,0.57600856,-0.03969328,-0.15154138,0.588235,0.00413528,0.00808025,0.00190966,0.00287382,-0.00022616,0.00120460
10,0.166667,run,0.26436684,0.12388923,0.08440561,0.72358590,-0.15798201,-0.21206552,0.411765,0.25313976,0.55811739,0.09232435,0.61347300,-0.03986864,-0.15365906,0.588235,0.00214259,0.00422228,0.00328609,0.00161330,0.00005052,0.00113895
